KIC           t_start       t_end         t_max         flux_max      raw_integral  energy        fit_amp       fit_fwhm      fit_t_start   fit_t_end     fit_t_max     fit_integral  fit_stdev     
001028018     2454986.9294  2454987.0111  2454986.9702  319.5139      -4.60280243   3.6685E+34    318.7681      0.0417        2454986.9433  2454987.0123  2454986.9600  23.55126973   97.76742921   
001028018     2455108.5905  2455108.6518  2455108.6109  874.7001      31.21735771   6.8404E+34    1318.9337     0.0193        2455108.6030  2455108.7085  2455108.6155  46.71056557   105.70618692  
001028018     2455269.0723  2455269.1336  2455269.0927  3537.3759     106.16901119  2.7465E+35    2699.0314     0.0225        2455269.0665  2455269.2667  2455269.0837  111.01847248  85.01033972   
001028018     2455399.1784  2455399.2397  2455399.2192  485.5902      15.74968771   4.2511E+34    483.5912      0.0417        2455399.1738  2455399.3521  2455399.1987  33.70431402   53.73726772   
001028018     2455777.7926  2455777.8539  2455777.8335  3828.8293     131.13110012  3.3172E+35    4489.9756     0.0212        2455777.7958  2455778.0218  2455777.8132  174.62274186  88.50936676   
001028018     2455800.9029  2455800.9642  2455800.9234  1961.5535     62.87720995   1.6994E+35    1922.2834     0.0192        2455800.9047  2455801.0450  2455800.9184  68.00189145   94.22913429   
001028018     2456155.5486  2456155.6099  2456155.5894  2194.4179     85.68465827   2.0060E+35    2625.5224     0.0417        2456155.5389  2456155.8471  2456155.5689  188.83191940  124.49682701  
001028018     2456334.2137  2456334.2750  2456334.2341  2929.8038     90.82507087   2.4431E+35    2709.3207     0.0182        2456334.2153  2456334.3582  2456334.2286  90.84678610   114.29218695  
002012690     2454974.1374  2454974.2191  2454974.1578  287.4994      9.61315734    1.2327E+35    158.5744      0.0519        2454974.1233  2454974.3203  2454974.1532  15.06269310   20.27889013   
002012690     2454974.2395  2454974.3417  2454974.2600  58.1756       4.03701544    3.3259E+34    49.3822       0.0592        2454974.2587  2454974.3371  2454974.2794  5.35750552    18.61087816   
002012690     2454974.6278  2454974.6891  2454974.6482  56.9940       1.79177534    1.6292E+34    56.7976       0.0417        2454974.6316  2454974.6994  2454974.6481  4.33837110    17.72456868   
002012690     2454990.8936  2454990.9549  2454990.9140  149.8247      4.63365369    4.2827E+34    149.0361      0.0242        2454990.8974  2454991.0217  2454990.9127  6.63244515    13.04826960   
002012690     2455017.4785  2455017.5398  2455017.4989  57.7423       1.79398177    1.7945E+34    55.0719       0.0245        2455017.4829  2455017.5408  2455017.4946  2.48686365    11.83472336   
002012690     2455112.4522  2455112.5135  2455112.4727  62.9897       2.33572600    1.8811E+34    66.2257       0.0730        2455112.4353  2455112.6324  2455112.4725  8.83916798    12.28588380   
002012690     2455139.2802  2455139.3415  2455139.3006  98.4315       3.07734873    2.9396E+34    102.0908      0.0264        2455139.2851  2455139.3884  2455139.3004  4.95728947    12.65496684   
002012690     2455143.4280  2455143.4893  2455143.4484  82.5123       2.78096227    2.4641E+34    91.1554       0.0405        2455143.4271  2455143.5656  2455143.4496  6.75334617    13.10344128   
002012690     2455164.3713  2455164.4326  2455164.4122  57.4595       1.91377160    1.7160E+34    57.3407       0.0417        2455164.3722  2455164.4647  2455164.3917  4.37382338    13.09031146   
