KIC           t_start       t_end         t_max         flux_max      raw_integral  energy        fit_amp       fit_fwhm      fit_t_start   fit_t_end     fit_t_max     fit_integral  fit_stdev     
005183039     2455198.2901  2455198.3514  2455198.3310  80.9391       2.84116988    3.3430E+33    93.5128       0.0966        2455198.2897  2455198.4983  2455198.3343  16.53233598   21.96802844   
005183039     2455585.2613  2455585.3431  2455585.3022  132.5483      7.36182620    8.2622E+33    213.4787      0.0502        2455585.2732  2455585.4397  2455585.3008  19.67098089   31.86882918   
005183039     2455685.5520  2455685.6133  2455685.5724  239.3078      6.94679455    9.4000E+33    239.0812      0.0417        2455685.5461  2455685.7545  2455685.5724  18.21622295   21.62251232   
005183039     2455807.1552  2455807.3187  2455807.1756  113.7978      15.40215928   1.5463E+34    200.7618      0.0590        2455807.2130  2455807.3951  2455807.2446  21.70355162   32.33872421   
005183039     2455945.5671  2455945.6284  2455945.5876  56.1456       1.64770183    2.3262E+33    56.1111       0.0417        2455945.5714  2455945.6366  2455945.5876  4.27383014    18.13807701   
005183039     2456107.2831  2456107.3853  2456107.3444  11.3127       0.50502709    8.6627E+32    -99.0000      -99.0000      -99.0000      -99.0000      -99.0000      -99.00000000  11.02651513   
005183039     2456362.5964  2456362.6577  2456362.6373  67.6400       2.53338276    2.8084E+33    91.7711       0.0626        2456362.5927  2456362.7458  2456362.6233  10.52318923   18.93560504   
005263650     2455120.2573  2455120.3185  2455120.2777  50.1559       1.60297899    7.9151E+33    50.1225       0.0417        2455120.2549  2455120.3907  2455120.2777  3.81788187    7.59419053    
005263650     2455425.4556  2455425.5169  2455425.4760  86.1355       2.76130072    1.3921E+34    85.7655       0.0417        2455425.4491  2455425.6739  2455425.4760  6.55661603    6.98922939    
005263650     2455691.2534  2455691.3147  2455691.2943  25.9744       0.54480660    4.2095E+33    25.8706       0.0417        2455691.2517  2455691.3768  2455691.2738  1.97716819    4.29734629    
005263650     2455692.2547  2455692.3160  2455692.2956  20.8210       0.59108370    3.3743E+33    20.7282       0.0417        2455692.2549  2455692.3549  2455692.2750  1.58489073    4.36819705    
005263650     2455839.6436  2455839.7253  2455839.6844  43.6778       2.05205563    1.0416E+34    53.9895       0.0519        2455839.6459  2455839.8297  2455839.6751  5.13361304    7.47899284    
005263650     2455865.0823  2455865.1436  2455865.1232  27.0220       0.86525961    4.2961E+33    19.5539       0.2288        2455864.9917  2455865.2912  2455865.0715  8.17606942    7.43704277    
005263650     2455935.0849  2455935.1462  2455935.1053  37.8019       1.16477194    6.1537E+33    37.6500       0.0417        2455935.0801  2455935.2641  2455935.1053  2.87747143    4.02422848    
005263650     2456200.6444  2456200.7057  2456200.6852  52.7228       0.92764487    8.6157E+33    15.2293       0.0517        2456200.6338  2456200.7105  2456200.6532  1.44051819    5.17480260    
005263650     2456229.3729  2456229.4342  2456229.3933  22.0824       0.72745780    3.5375E+33    22.0081       0.0417        2456229.3720  2456229.4845  2456229.3932  1.68090840    4.09224787    
005263650     2456236.3608  2456236.4221  2456236.3813  16.9275       0.53795147    2.7117E+33    16.8854       0.0417        2456236.3632  2456236.4420  2456236.3812  1.28852447    4.54613861    
005263650     2456288.3211  2456288.3824  2456288.3416  14.7888       0.44323452    2.3691E+33    14.7312       0.0417        2456288.3218  2456288.4168  2456288.3415  1.12571684    3.27678534    
005263650     2456288.4846  2456288.5459  2456288.5050  16.1561       0.52383513    2.5881E+33    16.0878       0.0417        2456288.4849  2456288.5832  2456288.5049  1.22979938    3.45157768    
005263650     2456410.7397  2456410.8010  2456410.7806  17.0858       0.47699769    2.7932E+33    17.0179       0.0417        2456410.7421  2456410.8201  2456410.7600  1.30057068    4.63395040    
005281811     2455002.9290  2455003.0312  2455002.9495  9.9000        0.58487480    4.1419E+33    9.8974        0.0417        2455002.9483  2455003.0657  2455002.9699  0.75359659    1.75232907    
005281811     2455013.3300  2455013.4322  2455013.4118  13.6989       0.74589650    5.7311E+33    12.4794       0.0887        2455013.3364  2455013.5698  2455013.3811  2.02562042    2.38104136    
005281811     2455518.5685  2455518.6503  2455518.5890  11.5003       0.53323015    3.7574E+33    11.4810       0.0417        2455518.5765  2455518.7086  2455518.5991  0.87541010    1.79477081    
005281811     2455656.7800  2455656.8617  2455656.8413  11.3529       0.45335896    3.6128E+33    11.3283       0.0417        2455656.7880  2455656.9215  2455656.8106  0.86419269    1.75015389    
005281811     2455683.8965  2455684.0191  2455683.9578  20.5257       1.39054827    1.0887E+34    20.4492       0.0417        2455683.9298  2455684.0861  2455683.9537  1.56241361    2.65578504    
