,kepler_id,quarter,time_start_index,time_end_index,flare_start_time,flare_end_time,flare_peak_index,flare_peak_time,energy,excluded,Teff,Radius,logg,Prot,flare_amp,flare_duration,time_start_BJD,time_end_BJD,flare_peak_BJD
3,6610891,1,1167,1170,155.6045261613108,155.66582914700848,1168,155.62496052336064,1.6694845250708466e+34,False,5912,1.008,4.416,,0.0024034183421001885,0.06130298569769366,54988.60452616131,54988.66582914701,54988.62496052336
28,6610891,14,3815,3818,1361.9846141780363,1362.0459135952551,3816,1362.0050473174997,1.6224813425169836e+34,False,5912,1.008,4.416,,0.002790491773291166,0.061299417218833696,56194.984614178036,56195.045913595255,56195.0050473175
31,6610891,15,4228,4231,1468.3167622570472,1468.3780609578462,4229,1468.3371950570436,3.1784544502835e+34,False,5912,1.008,4.416,,0.002678319696502755,0.06129870079894317,56301.31676225705,56301.378060957846,56301.33719505704
33,6610891,17,304,307,1565.6013052717099,1565.6626082540315,305,1565.6217395989588,1.6874987238342872e+34,False,5912,1.008,4.416,,0.0024293520230855505,0.061302982321649324,56398.60130527171,56398.66260825403,56398.62173959896
45,6611563,6,2467,2470,591.168308068176,591.2296086667775,2468,591.188741601356,2.666312298898802e+34,False,5345,0.733,4.615,,0.004684319356503397,0.061300598601519596,55424.168308068176,55424.22960866678,55424.188741601356
56,6611563,14,722,729,1289.2407305183733,1289.3837696293413,723,1289.2611645920624,4.191884347283336e+34,False,5345,0.733,4.615,,0.007840809904003194,0.14303911096794764,56122.24073051837,56122.38376962934,56122.26116459206
63,6613812,2,1461,1464,202.13295145062148,202.1942529169828,1462,202.15338537297794,4.843858650973257e+34,False,5970,0.9079999999999999,4.521,,0.00492811058279948,0.061301466361328494,55035.13295145062,55035.19425291698,55035.15338537298
96,6630715,4,3066,3069,420.74663321127446,420.80793482094305,3067,420.76706708077836,3.5568916413106294e+34,False,5463,1.077,4.314,,0.004236617477874112,0.06130160966858966,55253.746633211274,55253.80793482094,55253.76706708078
121,6630715,14,2808,2811,1341.1836698121915,1341.2449704641112,2809,1341.2041033630667,2.0304561760353735e+34,False,5463,1.077,4.314,,0.0027034533861566333,0.06130065191973699,56174.18366981219,56174.24497046411,56174.20410336307
124,6836589,2,1299,1304,198.76127471503423,198.8634424905831,1300,198.78170837079233,5.2436175550448394e+35,False,5641,1.14,4.252,,0.07522221957823635,0.10216777554887813,55031.761274715034,55031.86344249058,55031.78170837079
128,6836589,7,3843,3850,711.64016343392,711.783194795702,3844,711.6605965705821,1.3988874814047135e+36,False,5641,1.14,4.252,,0.08224850683676468,0.14303136178205023,55544.64016343392,55544.7831947957,55544.66059657058
129,6836589,9,827,836,825.6813329243159,825.8652427768466,828,825.7017672520815,1.0781559732790905e+36,False,5641,1.14,4.252,,0.0702199937788532,0.18390985253063263,55658.681332924316,55658.86524277685,55658.70176725208
131,6836589,11,2715,2726,1058.4400532702057,1058.664814187665,2716,1058.4604860711333,2.0023375020330908e+36,False,5641,1.14,4.252,,0.07491917690922578,0.22476091745920712,55891.440053270206,55891.664814187665,55891.46048607113
133,6836589,13,2311,2323,1231.5961611603561,1231.9026773279693,2315,1231.7392019410763,2.495327564844907e+36,False,5641,1.14,4.252,,0.06445082907258737,0.3065161676131538,56064.596161160356,56064.90267732797,56064.739201941076
134,6836589,13,2485,2498,1235.2539203989363,1235.580870703343,2489,1235.3969612603323,2.6616805021194674e+36,False,5641,1.14,4.252,,0.07247352001229196,0.32695030440663686,56068.253920398936,56068.58087070334,56068.39696126033
142,6843454,3,3118,3121,328.51071901580144,328.5720175496026,3119,328.53115186026116,3.5997761212704043e+34,False,5243,0.802,4.554,,0.007969196598933997,0.06129853380116401,55161.5107190158,55161.5720175496,55161.53115186026
144,6843454,4,3494,3497,429.55444853561494,429.61575121281203,3495,429.5748827611169,5.278371817757477e+34,False,5243,0.802,4.554,,0.020227393078733058,0.061302677197090816,55262.554448535615,55262.61575121281,55262.57488276112
162,6843454,16,1194,1197,1508.3251352362786,1508.3864364005422,1195,1508.345568957353,2.206227577281337e+34,False,5243,0.802,4.554,,0.01128508290548675,0.06130116426356835,56341.32513523628,56341.38643640054,56341.34556895735
163,6865416,1,450,454,140.76916430492565,140.85090208877227,451,140.78959865103388,7.724819359948354e+34,False,5435,0.828,4.474,,0.01772065000598826,0.08173778384662,54973.769164304926,54973.85090208877,54973.789598651034
165,6865416,2,2110,2113,215.51697929258808,215.57827995603293,2111,215.53741288071615,2.107682811984476e+34,False,5435,0.828,4.474,,0.007214929266577431,0.06130066344485385,55048.51697929259,55048.57827995603,55048.537412880716
168,6865416,2,3152,3155,238.48413585691014,238.5454355993934,3153,238.50456900463905,2.698315427391172e+34,False,5435,0.828,4.474,,0.007493406872147079,0.06129974248324288,55071.48413585691,55071.54543559939,55071.50456900464
169,6865416,2,3422,3425,244.08283392640442,244.14413343256456,3423,244.10326709543733,1.2206504698182393e+34,False,5435,0.828,4.474,,0.007653486859285959,0.06129950616013957,55077.082833926404,55077.144133432565,55077.10326709544
173,6865416,3,551,554,271.7695278359315,271.8308262481369,552,271.78996067363914,7.539418946140562e+34,False,5435,0.828,4.474,,0.015474038333583427,0.061298412205360364,55104.76952783593,55104.83082624814,55104.78996067364
174,6865416,3,637,642,273.5471836797733,273.64934768195235,639,273.58804932120256,8.515122756857255e+34,False,5435,0.828,4.474,,0.030332813397052648,0.10216400217905175,55106.54718367977,55106.64934768195,55106.5880493212
176,6865416,3,915,918,279.268365458498,279.329663872566,916,279.288798230089,7.539419982780832e+34,False,5435,0.828,4.474,,0.008095198430872355,0.06129841406800551,55112.2683654585,55112.329663872566,55112.28879823009
178,6865416,3,1076,1080,283.41621426336496,283.4979451242252,1077,283.4366470038658,5.323078179039005e+34,False,5435,0.828,4.474,,0.018266180089146423,0.0817308608602616,55116.416214263365,55116.497945124225,55116.436647003866
179,6865416,3,2700,2706,317.8043971729858,317.9269930326336,2702,317.8452623926423,1.10968583656179e+35,False,5435,0.828,4.474,,0.023712328118754455,0.12259585964784492,55150.804397172986,55150.92699303263,55150.84526239264
182,6865416,3,3477,3480,335.9077699486297,335.96906821534503,3478,335.928202704039,7.539405978514761e+34,False,5435,0.828,4.474,,0.012435914030126057,0.06129826671531191,55168.90776994863,55168.969068215345,55168.92820270404
183,6865416,3,3537,3540,337.1746009925628,337.235899289808,3538,337.1950337581511,3.9640522365775708e+34,False,5435,0.828,4.474,,0.00950590201559393,0.06129829724523006,55170.17460099256,55170.23589928981,55170.19503375815
185,6865416,4,467,470,362.08231713372516,362.1436162722457,468,362.1027502795914,5.641694014990653e+34,False,5435,0.828,4.474,,0.013795752609803692,0.06129913852055324,55195.082317133725,55195.143616272246,55195.10275027959
186,6865416,4,921,925,371.4611153271326,371.54284806169744,923,371.50198169383657,7.232844957104854e+34,False,5435,0.828,4.474,,0.026947358828384758,0.0817327345648664,55204.46111532713,55204.5428480617,55204.50198169384
188,6865416,4,1924,1928,393.1000383661449,393.1817724042121,1926,393.140905334476,1.035008765012591e+35,False,5435,0.828,4.474,,0.0303170869084551,0.0817340380672249,55226.100038366145,55226.18177240421,55226.140905334476
190,6865416,4,3114,3117,421.74818059529207,421.8094825692242,3115,421.76861468632706,7.062348835704931e+34,False,5435,0.828,4.474,,0.012805020989181973,0.06130197393213166,55254.74818059529,55254.809482569224,55254.76861468633
191,6865416,4,3163,3168,422.74944660358597,422.8516165339897,3165,422.79031451488845,1.2895719342068875e+35,False,5435,0.828,4.474,,0.018099540456448047,0.1021699304037611,55255.749446603586,55255.85161653399,55255.79031451489
