,kepler_id,flare_peak_time,flare_duration,energy
1744,10537061.0,55759.79,0.1,9.6e+35
1502,9598005.0,55687.98,0.25,9e+35
1738,10537061.0,55621.2,0.25,8.9e+35
1763,10537061.0,56171.75,0.23,7.9e+35
569,5510843.0,56116.72,0.25,7.9e+35
1564,9716645.0,56092.43,0.17,7.2e+35
1330,8892124.0,56362.6,0.25,7e+35
1301,8892124.0,55746.06,0.15,6.8e+35
34,3123231.0,55869.99,0.17,6.5e+35
1743,10537061.0,55747.14,0.27,6.5e+35
